ID Number,Forename,Surname,Birth Year,Sex,Age,Mother ID,Father ID,No. of Kids,No. of Friends,Partner ID,MB Type,Q1,A1,Q2,A2,Q3,A3,Q4,A4,Q5,A5,Job
330,Neil,Brownlie,50,Male,46,214,198,1,4,357,ISFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old were you when you married Lottie?,I married Lottie when I was 23 and they were 18,What happened to your right arm?,I lost my right arm when I was 26,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 26 years old when she had me,Smith
331,Graeme,Mcrae,51,Male,20,117,123,2,4,346,ESTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your torso?,I lost my torso when I was 20,Do you have any shared friends with Darren Ferry?,No. Darren and I don't share any friends,Who were your parents?,My mother was Poppy and my father was Sean,How many friends do you have?,I have 4 friends,Farmer
332,Miley,Mcghie,51,Female,49,149,120,3,4,339,INTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 46 when he died,Who was your first friend?,My first friend was Taylor Noon,What is your eldest sibling's age?,My eldest sibling is Jackson who was born 67 years old,Housewife
333,Lara,Evans,51,Female,49,164,160,4,4,334,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 37 years old when she had me,Do you have any shared friends with Evie Cheung?,No. Evie and I don't share any friends,Housewife
334,Anthony,Evans,51,Male,49,171,183,4,4,333,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Lara?,I married Lara when I was 18 and they were 18,Who were your parents?,My mother was Charley and my father was Charlie,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Hunter
335,Brodie,Fuller,51,Male,19,179,195,0,3,Single,ISTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old was your father when he died?,My father was 72 when he died,Who was your first friend?,My first friend was Scott Holt,What is your eldest sibling's age?,My eldest sibling is Kaitlin who was born 62 years old,How old was your mother when she died?,My mother was 78 when she died,Smith
336,Evan,Nelson,51,Male,49,186,167,3,4,361,ENFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I burned my torso when I was 37,Do you have any children?,I have 3 wonderful children!,How old was your mother when she had you?,My mother was 33 years old when she had me,Do you have any shared friends with Sonny Bates?,No. Sonny and I don't share any friends,Smith
337,Liam,Mclay,51,Male,49,189,168,4,4,347,ESTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old were you when you married Elle?,I married Elle when I was 20 and they were 18,What happened to your torso?,I scarred my torso when I was 45,Who were your parents?,My mother was Millie and my father was David,How many friends do you have?,I have 4 friends,Smith
338,Alex,Gault,51,Male,49,201,231,3,4,362,ENFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 39 when he died,Who was your first friend?,My first friend was Leah Hewitt,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Calum who was born 4 years after me,Soldier
339,Arlo,Mcghie,51,Male,49,207,219,3,4,332,INTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I burned my left arm when I was 25,How old was your mother when she died?,My mother was 76 when she died,Do you have any children?,I have 3 wonderful children!,How old was your mother when she had you?,My mother was 29 years old when she had me,Soldier
340,Ada,Morris,51,Female,49,227,220,2,4,324,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Hope Mcghie?,No. Hope and I don't share any friends,Who were your parents?,My mother was Alexandra and my father was Jay,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Housewife
341,Nathan,Skinner,52,Male,36,112,101,1,4,359,ISTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I burned my left arm when I was 28,How old was your father when he died?,My father was 31 when he died,Who was your first friend?,My first friend was Jill Glendinning,What is your eldest sibling's age?,My eldest sibling is Elizabeth who was born 69 years old,Farmer
342,Jude,Mcrae,52,Male,48,117,123,3,4,363,ESTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old was your mother when she died?,My mother was 74 when she died,Do you have any children?,I have 3 wonderful children!,How old was your mother when she had you?,My mother was 47 years old when she had me,Do you have any shared friends with Arlo Mcghie?,No. Arlo and I don't share any friends,Soldier
343,Dale,Little,52,Male,48,137,148,2,4,365,ENTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right leg?,I burned my right leg when I was 42,Who were your parents?,My mother was Christina and my father was Caleb,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Soldier
344,Kara,Mclay,52,Female,48,171,183,1,4,321,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your father when he died?,My father was 73 when he died,Who was your first friend?,My first friend was Bruce Hewitt,What is your eldest sibling's age?,My eldest sibling is Heidi who was born 62 years old,How old was your mother when she died?,My mother is actually still alive,Housewife
345,Steven,Mcghie,52,Male,48,207,219,2,4,356,INTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left arm?,I burned my left arm when I was 17,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 30 years old when she had me,Do you have any shared friends with Mason Niven?,No. Mason and I don't share any friends,Soldier
346,Elle,Mcrae,52,Female,48,210,205,2,4,331,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who were your parents?,My mother was Katrina and my father was Innes,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 77 when he died,Weaver
347,Elle,Mclay,52,Female,48,226,225,4,4,337,ESFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who was your first friend?,My first friend was Gerald Stanners,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I have 4 wonderful children!,Weaver
348,Frankie,Gault,53,Male,47,136,140,3,4,367,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old were you when you married Violet?,I married Violet when I was 22 and they were 18,How old was your mother when she had you?,My mother was 43 years old when she had me,Do you have any shared friends with Ailsa Nelson?,No. Ailsa and I don't share any friends,Who were your parents?,My mother was Jodie and my father was Ollie,Farmer
349,Freya,Garner,53,Female,47,161,181,2,4,354,ISFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 76 when he died,Who was your first friend?,My first friend was Lorraine Mcghie,Weaver
350,Molly,Tariq,53,Female,47,163,150,2,4,353,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Kevin who was born 58 years old,How old was your mother when she died?,My mother was 82 when she died,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 39 years old when she had me,Weaver
351,Jennifer,Muldoon,53,Female,47,176,177,1,4,355,ESTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your left leg?,I burned my left leg when I was 25,Do you have any shared friends with Cole Little?,No. Cole and I don't share any friends,Who were your parents?,My mother was Anne and my father was Zak,How many friends do you have?,I have 4 friends,Weaver
352,Ailsa,Nelson,53,Female,47,209,238,2,4,326,ENTP,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 17,What happened to your torso?,I scarred my torso when I was 32,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father is actually still alive,Weaver
353,Alastair,Tariq,53,Male,47,211,240,2,4,350,ENTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 16,What happened to your right arm?,I scarred my right arm when I was 28,Who was your first friend?,My first friend was Dale Little,Do you have any injuries to your head?,I've never had any serious injuries to my head,Soldier
354,Louie,Garner,53,Male,47,215,213,2,4,349,ISFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right leg?,I burned my right leg when I was 46,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 29 years old when she had me,Smith
355,Cooper,Muldoon,53,Male,47,233,221,1,4,351,ESTP,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Jennifer?,I married Jennifer when I was 18 and they were 18,Do you have any shared friends with Liam Mclay?,No. Liam and I don't share any friends,Who were your parents?,My mother was Sienna and my father was Frank,How many friends do you have?,I have 4 friends,Soldier
356,Rebekah,Mcghie,54,Female,46,111,114,2,4,345,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 29 when he died,Who was your first friend?,My first friend was Joanna Drummond,What is your eldest sibling's age?,My eldest sibling is Amy who was born 70 years old,Weaver
357,Lottie,Brownlie,54,Female,46,141,122,1,4,330,ISFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 43 years old when she had me,Do you have any shared friends with Rachel Mcrae?,Yes. We have 1 shared friend, Calum Gault,Weaver
358,Mark,Dryden,54,Male,46,164,160,4,4,370,ESFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,How old were you when you married Janet?,I married Janet when I was 22 and they were 18,What happened to your right leg?,I crippled my right leg when I was 29,Who were your parents?,My mother was Niamh and my father was Joseph,How many friends do you have?,I have 4 friends,Smith
359,Ailsa,Skinner,54,Female,46,176,177,1,4,341,ESTJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 81 when he died,Who was your first friend?,My first friend was Lyndsey Ritchie,What is your eldest sibling's age?,My eldest sibling is Evan who was born 65 years old,Housewife
360,Mollie,Gault,55,Female,45,165,166,4,4,364,ESFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 17,How old was your mother when she died?,My mother was 78 when she died,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 41 years old when she had me,Farmer
361,Anna,Nelson,55,Female,45,178,187,3,4,336,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 34,Do you have any shared friends with Jill Glendinning?,No. Jill and I don't share any friends,Who were your parents?,My mother was Lesley and my father was Jackson,How many friends do you have?,I have 4 friends,Weaver
362,Shona,Gault,55,Female,45,186,167,3,4,338,ENFP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 68 when he died,Who was your first friend?,My first friend was Rachel Mcrae,What is your eldest sibling's age?,My eldest sibling is Aiden who was born 57 years old,Housewife
363,Rachel,Mcrae,55,Female,45,189,168,3,4,342,ESFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 45,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I have 3 wonderful children!,How old was your mother when she had you?,My mother was 37 years old when she had me,Housewife
364,Calum,Gault,55,Male,45,201,231,4,4,360,ESFP,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 18,Do you have any shared friends with Freya Garner?,No. Freya and I don't share any friends,Who were your parents?,My mother was Alicia and my father was Gabriel,How many friends do you have?,I have 4 friends,Soldier
365,Courtney,Little,56,Female,44,130,131,2,4,343,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 80 when he died,Who was your first friend?,My first friend was Molly Tariq,What is your eldest sibling's age?,My eldest sibling is Sarah who was born 68 years old,Weaver
366,Lewis,Skinner,56,Male,44,151,142,1,4,399,ISTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your torso?,I scarred my torso when I was 17,How old was your mother when she died?,My mother was 72 when she died,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 44 years old when she had me,Soldier
367,Violet,Gault,56,Female,44,200,174,3,4,348,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Paula Drummond?,No. Paula and I don't share any friends,Who were your parents?,My mother was Jillian and my father was Kian,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Housewife
368,Brian,Holt,56,Male,22,241,234,0,4,Single,ISTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I lost my torso when I was 22,How old was your father when he died?,My father was 22 when he died,Who was your first friend?,My first friend was Freya Garner,Do you have any injuries to your head?,I've never had any serious injuries to my head,Smith
369,Joanna,Drummond,56,Female,44,242,251,1,4,373,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 26 years old when she had me,Do you have any shared friends with Rebekah Mcghie?,No. Rebekah and I don't share any friends,Weaver
370,Janet,Dryden,57,Female,43,164,160,4,4,358,ESFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right leg?,I crippled my right leg when I was 24,Who were your parents?,My mother was Niamh and my father was Joseph,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Farmer
371,Linda,Hosie,57,Female,43,190,192,1,4,374,INFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your father when he died?,My father was 78 when he died,Who was your first friend?,My first friend was Evie Cheung,What is your eldest sibling's age?,My eldest sibling is Jacob who was born 58 years old,How old was your mother when she died?,My mother was 79 when she died,Farmer
372,Sandra,Dryden,57,Female,43,208,204,2,4,380,ENFJ,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 35 years old when she had me,Do you have any shared friends with Hollie Hair?,No. Hollie and I don't share any friends,Who were your parents?,My mother was Claire and my father was Aiden,Housewife
373,Blair,Drummond,57,Male,43,223,252,1,4,369,ENFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 54 when he died,Who was your first friend?,My first friend was Mark Dryden,Hunter
374,Nicholas,Hosie,57,Male,43,242,251,1,4,371,INTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Joanna who was born 44 years old,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 27 years old when she had me,Hunter
375,Aimee,Bates,57,Female,43,244,253,5,4,378,INTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 24,Do you have any shared friends with Alastair Tariq?,No. Alastair and I don't share any friends,Who were your parents?,My mother was Amy and my father was Jackson,How many friends do you have?,I have 4 friends,Weaver
376,Charlie,Noon,57,Male,43,245,247,1,4,403,ISTP,What did you do when you turned 16?,I became an Hunter once I became an adult.,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Freya Garner,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Hanna who was born 11 years after me,Hunter
377,Clara,Cheung,57,Female,43,248,224,4,4,386,ENTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your torso?,I scarred my torso when I was 18,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 25 years old when she had me,Weaver
378,Dominic,Bates,57,Male,43,262,267,5,4,375,INTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 19,Do you have any shared friends with Lewis Skinner?,No. Lewis and I don't share any friends,Who were your parents?,My mother was Jillian and my father was Leo,How many friends do you have?,I have 4 friends,Soldier
379,Elsie,Mcghie,58,Female,42,137,148,0,4,392,ENTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 85 when he died,Who was your first friend?,My first friend was Elijah Mclay,What is your eldest sibling's age?,My eldest sibling is Cole who was born 60 years old,Farmer
380,Patrick,Dryden,58,Male,42,164,160,2,4,372,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 18,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I have 2 wonderful children!,How old was your mother when she had you?,My mother was 44 years old when she had me,Hunter
381,Rory,Stephen,58,Male,42,208,204,5,4,384,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 18,Do you have any shared friends with Niall Hair?,No. Niall and I don't share any friends,Who were your parents?,My mother was Claire and my father was Aiden,How many friends do you have?,I have 4 friends,Soldier
382,Zachary,Hair,58,Male,42,210,205,1,4,404,ESFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right arm?,I lost my right arm when I was 37,What happened to your right leg?,I lost my right leg when I was 42,Do you have any siblings?,Yes. I actually have 2 siblings,How old was your father when he died?,My father was 77 when he died,Smith
383,Niall,Hair,58,Male,42,216,212,0,4,415,ESFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who was your first friend?,My first friend was Rory Stephen,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Frankie who was born 6 years after me,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,Hunter
384,Georgia,Stephen,58,Female,42,223,252,5,4,381,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 40,How old was your mother when she had you?,My mother was 31 years old when she had me,Do you have any shared friends with Ailsa Nelson?,No. Ailsa and I don't share any friends,Who were your parents?,My mother was Tracy and my father was Jackson,Weaver
385,Oscar,Cassidy,58,Male,42,232,229,2,4,420,ISFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 69 when he died,Who was your first friend?,My first friend was Taylor Noon,Hunter
386,Archie,Cheung,58,Male,42,244,253,4,4,377,INTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,How old were you when you married Clara?,I married Clara when I was 18 and they were 19,What happened to your right leg?,I crippled my right leg when I was 39,What is your eldest sibling's age?,My eldest sibling is Aimee who was born 43 years old,How old was your mother when she died?,My mother is actually still alive,Hunter
387,Rosie,Wales,59,Female,41,153,155,1,4,389,ENFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left leg?,I scarred my left leg when I was 19,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 47 years old when she had me,Do you have any shared friends with Brodie Noon?,No. Brodie and I don't share any friends,Farmer
388,Ann,Duncanson,59,Female,41,163,150,1,4,398,ENFP,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who were your parents?,My mother was Arianna and my father was Gregor,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father was 49 when he died,Weaver
389,Jason,Wales,59,Male,41,184,196,1,4,387,ESFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,Who was your first friend?,My first friend was Murray Wales,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother was 71 when she died,Do you have any children?,I just have the one child,Hunter
390,Luca,Mcghie,59,Male,41,207,219,1,4,402,INTJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 16,How old was your mother when she had you?,My mother was 37 years old when she had me,Do you have any shared friends with Elsie Mcghie?,No. Elsie and I don't share any friends,Who were your parents?,My mother was Joanna and my father was Bradley,Hunter
391,Iain,Noon,59,Male,41,258,255,0,4,Single,ISFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,How old was your father when he died?,My father was 55 when he died,Who was your first friend?,My first friend was Cooper Muldoon,Hunter
392,Harry,Mcghie,60,Male,40,185,188,0,4,379,ENTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Sophia who was born 61 years old,How old was your mother when she died?,My mother was 73 when she died,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 42 years old when she had me,Farmer
393,Shaun,Garner,60,Male,40,215,213,2,4,406,ISFJ,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 17,Do you have any shared friends with Cara Glendinning?,No. Cara and I don't share any friends,Who were your parents?,My mother was Lorna and my father was Joe,How many friends do you have?,I have 4 friends,Hunter
394,Alasdair,Cheung,60,Male,40,244,253,1,4,431,INFJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left leg?,I burned my left leg when I was 20,What happened to your right leg?,I burned my right leg when I was 27,Do you have any siblings?,Yes. I actually have 4 siblings,How old was your father when he died?,My father is actually still alive,Smith
395,Brodie,Noon,60,Male,37,258,255,0,4,428,ISFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Who was your first friend?,My first friend was Rosie Wales,What is your eldest sibling's age?,My eldest sibling is Iain who was born 41 years old,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,Smith
396,Elizabeth,Gault,60,Female,40,270,278,4,4,405,ENTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,How old was your mother when she had you?,My mother was 22 years old when she had me,Do you have any shared friends with Harry Mcghie?,No. Harry and I don't share any friends,Who were your parents?,My mother was Harley and my father was Cole,How many friends do you have?,I have 4 friends,Housewife
397,Ruaridh,Skinner,61,Male,20,151,142,0,4,Single,ISTJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your left arm?,I lost my left arm when I was 17,What happened to your torso?,I burned my torso when I was 18,Do you have any siblings?,Yes. I actually have 3 siblings,How old was your father when he died?,My father was 80 when he died,Farmer
398,Alistair,Duncanson,61,Male,39,165,166,1,4,388,ESFP,What did you do when you turned 16?,I became an Hunter once I became an adult.,What happened to your right leg?,I scarred my right leg when I was 21,What happened to your left arm?,I burned my left arm when I was 25,What happened to your left leg?,I scarred my left leg when I was 39,Who was your first friend?,My first friend was Scott Holt,Hunter
399,Kelsey,Skinner,61,Female,39,269,279,1,4,366,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any injuries to your head?,I've never had any serious injuries to my head,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 23 years old when she had me,Housewife
400,Ryan,Ferry,62,Male,38,172,194,0,4,Single,ISTP,What did you do when you turned 16?,I became a Farmer once I became an adult.,Do you have any shared friends with Jennifer Muldoon?,No. Jennifer and I don't share any friends,Who were your parents?,My mother was Sophie and my father was Reece,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Farmer
401,Nicholas,Nelson,62,Male,38,186,167,0,4,430,INFP,What did you do when you turned 16?,I became a Farmer once I became an adult.,What happened to your right arm?,I scarred my right arm when I was 22,How old were you when you married Anna?,I married Anna when I was 25 and they were 18,How old was your father when he died?,My father was 68 when he died,Who was your first friend?,My first friend was Arlo Mcghie,Farmer
402,Jillian,Mcghie,62,Female,38,244,253,1,4,390,INTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What is your eldest sibling's age?,My eldest sibling is Aimee who was born 43 years old,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 32 years old when she had me,Weaver
403,Libby,Noon,62,Female,38,259,272,1,4,376,ISTP,What did you do when you turned 16?,I became an Housewife once I became an adult.,Do you have any shared friends with Neil Brownlie?,No. Neil and I don't share any friends,Who were your parents?,My mother was Paula and my father was Alasdair,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. but I only have one sibling,Housewife
404,Molly,Hair,63,Female,37,261,266,1,4,382,ENFJ,What did you do when you turned 16?,I became a Farmer once I became an adult.,How old was your father when he died?,My father is actually still alive,Who was your first friend?,My first friend was Lynn Cassidy,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Elijah who was born 10 years after me,How old was your mother when she died?,My mother was 62 when she died,Farmer
405,Calum,Gault,64,Male,36,163,150,4,4,396,ENFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right leg?,I lost my right leg when I was 19,Do you have any children?,I have 4 wonderful children!,How old was your mother when she had you?,My mother was 50 years old when she had me,Do you have any shared friends with Rachel Mcrae?,Yes. We have 1 shared friend, Lottie Brownlie,Smith
406,Chloe,Garner,64,Female,36,173,191,2,4,393,INFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Who were your parents?,My mother was Erin and my father was Archie,How many friends do you have?,I have 4 friends,Do you have any siblings?,No. I'm an only child,How old was your father when he died?,My father was 81 when he died,Weaver
407,Ashley,Hair,64,Female,36,178,187,1,4,408,ENFJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,What happened to your torso?,I scarred my torso when I was 34,Who was your first friend?,My first friend was Rachel Mcrae,What is your eldest sibling's age?,My eldest sibling is Anna who was born 45 years old,How old was your mother when she died?,My mother is actually still alive,Weaver
408,Frankie,Hair,64,Male,36,216,212,1,4,407,ESFJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Ashley?,I married Ashley when I was 18 and they were 18,What happened to your left leg?,I scarred my left leg when I was 29,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 39 years old when she had me,Soldier
409,Robin,Morris,64,Male,36,228,222,3,4,419,INTP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,Do you have any shared friends with Taylor Mcghie?,No. Taylor and I don't share any friends,Who were your parents?,My mother was Isla and my father was Rory,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 4 siblings,Smith
410,Wayne,Cassidy,64,Male,36,232,229,1,4,435,ISFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your left arm?,I lost my left arm when I was 34,How old was your father when he died?,My father was 69 when he died,Who was your first friend?,My first friend was Janet Dryden,What is your eldest sibling's age?,My eldest sibling is Roy who was born 53 years old,Smith
411,Owen,Wales,64,Male,27,236,237,1,4,442,ISFP,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your right arm?,I burned my right arm when I was 26,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I just have the one child,How old was your mother when she had you?,My mother was 35 years old when she had me,Smith
412,Leigh,Mcghie,64,Female,36,254,264,3,4,413,INTJ,What did you do when you turned 16?,I became a Weaver once I became an adult.,Do you have any shared friends with Mya Bates?,No. Mya and I don't share any friends,Who were your parents?,My mother was Nikki and my father was Niall,How many friends do you have?,I have 4 friends,Do you have any siblings?,Yes. I actually have 3 siblings,Weaver
413,Taylor,Mcghie,64,Male,36,257,246,3,4,412,ENTJ,What did you do when you turned 16?,I became a Soldier once I became an adult.,How old were you when you married Leigh?,I married Leigh when I was 18 and they were 18,How old was your father when he died?,My father was 60 when he died,Who was your first friend?,My first friend was Robin Morris,What is your eldest sibling's age?,I'm the eldest sibling. The next eldest is Cerys who was born 5 years after me,Soldier
414,Niall,Muldoon,64,Male,33,268,282,0,4,416,ESTJ,What did you do when you turned 16?,I became a Blacksmith once I became an adult.,What happened to your torso?,I lost my torso when I was 33,How old was your mother when she died?,My mother is actually still alive,Do you have any children?,I don't have any children,How old was your mother when she had you?,My mother was 26 years old when she had me,Smith
